GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13058028;Gadebusch, Stadt;2998;68;198;724;1014;481;252;261
13058029;Gägelow;1143;3;52;214;267;290;171;146
13058030;Glasin;389;-;12;55;91;115;60;56
13058031;Gottesgabe;339;7;12;45;68;94;57;56
13058032;Grambow;286;3;6;30;75;76;49;47
13058034;Grevesmühlen, Stadt;5526;285;912;1289;1354;858;510;318
13058035;Grieben;85;-;7;10;31;15;10;12
13058038;Groß Molzahn;179;-;12;27;53;50;24;13
13058041;Groß Siemz;138;-;3;21;44;35;19;16
13058042;Groß Stieten;345;15;46;137;75;36;13;23
13058045;Hanshagen;-;-;-;-;-;-;-;-
13058047;Hohen Viecheln;302;-;32;36;40;88;65;41
13058048;Holdorf;172;3;4;15;47;58;36;9
13058049;Hornstorf;469;3;21;95;136;94;54;66
13058050;Insel Poel;1568;34;102;350;545;233;159;145
13058051;Jesendorf;193;-;16;36;47;50;34;10
13058053;Klein Trebbow;386;11;32;65;97;86;32;63
13058054;Klütz, Stadt;1511;6;115;322;392;336;178;162
13058055;Kneese;150;3;3;24;31;57;15;17
13058056;Köchelstorf;176;-;6;40;33;47;38;12
13058058;Krembz;411;-;19;61;113;66;85;67
13058059;Krusenhagen;218;-;6;27;50;58;55;22
13058060;Lockwisch;175;-;6;28;50;38;21;32
13058062;Lübberstorf;112;3;6;11;46;15;21;10
13058063;Lübow;671;-;33;73;160;160;144;101
13058064;Lübstorf;665;16;12;71;152;189;136;89
13058065;Lüdersdorf;2126;15;134;402;469;421;407;278
13058066;Lützow;676;-;21;103;150;187;108;107
13058067;Mallentin;346;3;56;53;79;69;42;44
13058068;Menzendorf;120;-;13;39;15;23;12;18
13058069;Metelsdorf;208;6;-;24;61;43;34;40
13058071;Mühlen Eichsen;417;3;18;38;107;121;69;61
13058072;Nesow;109;-;-;6;22;24;26;31
13058073;Neuburg;990;3;45;180;291;226;124;121
13058074;Neukloster, Stadt;1940;21;234;508;611;264;176;126
13058075;Niendorf;151;3;7;26;40;40;22;13
13058076;Papenhusen;139;-;18;13;25;37;28;18
13058078;Passee;113;11;0;12;57;15;-;18
13058079;Perlin;182;-;9;34;42;56;26;15
13058080;Pingelshagen;241;-;3;3;52;86;57;40
13058081;Plüschow;226;-;9;64;35;65;27;26
13058082;Pokrent;314;-;10;49;90;50;66;49
13058084;Rehna, Stadt;1493;13;205;394;338;281;176;86
13058085;Renzow;-;-;-;-;-;-;-;-
13058086;Rieps;165;-;11;16;57;31;24;26
13058087;Roduchelstorf;112;-;-;15;26;39;16;16
13058088;Roggendorf;505;-;33;95;137;106;75;59
13058089;Roggenstorf;214;3;9;32;50;41;44;35
13058090;Rögnitz;85;-;-;0;17;31;17;20
13058091;Rüting;244;-;20;42;56;44;35;47
13058092;Schimm;-;-;-;-;-;-;-;-
13058093;Schlagsdorf;519;4;15;88;114;122;88;88
13058094;Schönberg, Stadt;2150;34;251;458;700;387;160;160
13058095;Seehof;420;-;35;42;83;113;87;60
13058096;Selmsdorf;1143;6;76;218;280;250;185;128
13058098;Testorf-Steinfort;262;3;28;28;61;57;42;43
13058099;Thandorf;105;6;18;23;25;14;9;10
13058100;Upahl;498;3;42;96;109;97;87;64
13058101;Utecht;142;-;9;6;23;36;13;55
13058102;Veelböken;326;4;18;69;76;67;64;28
13058103;Ventschow;411;-;12;103;179;55;25;37
13058104;Vitense;140;3;7;14;30;32;32;22
13058105;Warin, Stadt;1767;39;209;399;427;296;222;175
13058106;Warnow;289;3;33;41;41;54;61;56
13058107;Wedendorf;131;-;6;22;38;36;16;13
13058108;Zickhusen;248;-;3;53;50;60;40;42
13058109;Zierow;371;3;15;77;119;78;34;45
13058110;Zurow;637;3;62;145;152;136;91;48
13058111;Züsow;168;-;10;22;50;31;12;43
13058112;Moor-Rolofshagen;-;-;-;-;-;-;-;-
13058113;Kalkhorst;882;9;33;140;198;213;168;121
13058114;Bobitz;1271;21;161;245;281;249;197;117
13058115;Königsfeld;415;-;13;38;124;118;52;70
13058116;Hohenkirchen;836;-;53;240;228;158;83;74
13058117;Schildetal;346;7;13;33;84;102;63;44
13058118;Damshagen;593;7;20;91;142;124;114;95
13059002;Anklam, Stadt;7830;159;1242;2673;2111;904;457;284
13059003;Bandelin;293;22;4;49;93;46;32;47
13059005;Bargischow;153;6;18;19;30;46;25;9
13059006;Behrenhoff;340;-;7;39;85;110;49;50
13059007;Benz;492;18;31;107;130;117;41;48
13059008;Blesewitz;123;3;6;33;31;18;22;10
13059009;Boldekow;270;9;6;70;77;46;36;26
13059011;Brünzow;314;19;9;52;53;81;54;46
13059012;Buddenhagen;203;7;12;18;61;46;34;25
13059013;Bugewitz;174;3;6;40;50;49;16;10
13059014;Buggenhagen;109;3;6;21;24;18;22;15
13059015;Butzow;205;-;9;12;58;57;32;37
13059016;Dargelin;194;3;9;35;32;53;21;41
13059017;Dargen;258;-;22;50;60;49;32;45
13059018;Dersekow;467;6;9;81;122;108;88;53
13059019;Diedrichshagen;201;-;3;38;46;39;45;30
13059020;Drewelow;-;-;-;-;-;-;-;-
13059021;Ducherow;1282;45;157;264;351;237;112;116
13059022;Garz;143;-;24;40;23;35;15;6
13059023;Gribow;106;-;7;31;27;20;9;12
13059025;Groß Kiesow;581;-;18;77;139;165;100;82
13059027;Groß Polzin;238;9;14;41;50;48;34;42
13059028;Gützkow, Stadt;1380;4;66;257;470;268;188;127
13059029;Hanshagen;385;-;13;34;81;125;64;68
13059031;Hinrichshagen;319;-;3;12;62;104;103;35
13059032;Hohendorf;433;-;19;77;87;112;83;55
13059033;Iven;113;-;10;29;20;27;15;12
13059034;Japenzin;-;-;-;-;-;-;-;-
13059036;Kamminke;166;3;9;46;39;39;21;9
13059037;Karlsburg;718;25;53;163;210;151;64;52
13059038;Karlshagen;1735;91;155;445;557;337;106;44
13059039;Katzow;273;3;6;48;60;63;66;27
13059040;Kemnitz;497;3;20;98;101;149;83;43
13059041;Klein Bünzow;357;7;17;71;71;91;53;47
13059042;Kölzin;158;-;-;20;54;38;34;12
13059043;Korswandt;279;4;33;49;66;65;40;22
13059044;Koserow;1119;13;222;272;242;165;138;67
13059045;Krien;404;4;13;122;95;98;32;40
13059046;Kröslin;871;-;57;171;209;196;149;89
13059047;Krummin;120;-;-;27;33;32;13;15
13059048;Krusenfelde;82;-;-;13;23;26;4;16
13059049;Lassan, Stadt;843;22;66;241;206;158;96;54
13059050;Levenhagen;209;6;15;48;64;32;28;16
13059051;Liepen;138;3;6;12;47;34;18;18
13059052;Loddin;543;15;37;122;146;99;59;65
13059053;Loissin;403;-;24;79;116;71;61;52
13059054;Löwitz;-;-;-;-;-;-;-;-
13059055;Lubmin;1094;12;82;223;246;291;129;111
13059057;Lühmannsdorf;312;-;11;40;71;64;74;52
13059058;Lüssow;-;-;-;-;-;-;-;-
13059059;Lütow;211;3;25;37;53;43;34;16
13059060;Medow;278;3;17;46;48;58;57;49
13059062;Mesekenhagen;501;15;31;78;82;126;79;90
13059063;Mölschow;356;6;23;97;66;86;38;40
13059065;Murchin;411;-;22;90;94;109;56;40
13059066;Neetzow;302;-;15;52;68;82;55;30
13059069;Neu Boltenhagen;268;-;17;60;54;72;37;28
13059070;Neu Kosenow;262;6;12;34;87;59;33;31
13059071;Neuendorf A;65;-;6;6;22;18;10;3
13059072;Neuendorf B;90;6;-;9;29;32;6;8
13059073;Neuenkirchen;139;-;-;27;38;36;26;12
13059074;Neuenkirchen;1001;12;30;86;201;289;224;159
13059075;Peenemünde;189;12;31;93;33;17;3;-
13059076;Pelsin;-;-;-;-;-;-;-;-
13059077;Postlow;159;-;9;28;45;39;28;10
13059078;Pudagla;216;-;3;47;68;42;24;32
13059079;Pulow;-;-;-;-;-;-;-;-
13059080;Putzar;109;-;4;34;22;21;16;12
13059081;Rankwitz;357;-;15;63;99;76;53;51
13059083;Rathebur;-;-;-;-;-;-;-;-
13059084;Rossin;81;3;-;9;35;21;10;3
13059085;Rubenow;356;3;6;59;76;89;76;47
13059086;Rubkow;331;-;12;78;82;75;46;38
13059087;Sarnow;197;-;27;63;6;42;25;34
13059088;Sauzin;203;3;22;46;55;48;15;14
13059089;Schmatzin;169;3;9;27;58;34;29;9
13059091;Spantekow;590;9;18;133;162;155;75;38
13059093;Stolpe;188;3;9;62;59;30;7;18
13059094;Stolpe auf Usedom;193;-;3;43;54;33;31;29
13059095;Trassenheide;537;-;39;112;117;111;103;55
13059096;Ückeritz;542;15;67;124;111;84;69;72
13059097;Usedom, Stadt;1077;24;115;253;266;220;96;103
13059098;Wackerow;557;4;33;36;86;167;130;101
13059099;Weitenhagen;668;3;22;68;156;165;129;125
13059100;Wietstock;-;-;-;-;-;-;-;-
13059101;Wolgast, Stadt;6646;220;927;2287;1851;845;284;232
13059102;Wrangelsburg;113;-;-;38;29;18;13;15
13059103;Wusterhusen;577;-;47;135;134;90;100;71
13059104;Zemitz;367;-;25;66;95;82;55;44
13059105;Zempin;590;13;92;109;140;115;82;39
13059106;Ziethen;249;3;27;40;52;25;61;41
13059107;Zinnowitz;2369;54;342;574;579;434;229;157
13059109;Zirchow;215;-;15;61;49;39;33;18
13059110;Züssow;633;9;100;128;150;128;73;45
13059111;Mellenthin;257;-;10;88;66;40;29;24
13059112;Heringsdorf;5474;278;1056;1643;1212;663;339;283
13060001;Banzkow;1219;25;70;148;271;310;245;150
13060003;Barnin;219;-;15;42;35;57;36;34
13060004;Blankenberg;203;-;16;19;69;47;43;9
13060005;Borkow;249;9;15;54;49;43;52;27
13060006;Broock;-;-;-;-;-;-;-;-
13060007;Brüel, Stadt;1484;64;213;384;309;254;143;117
13060008;Bülow;179;-;3;20;20;69;36;31
13060009;Cambs;294;-;13;45;72;79;46;39
13060010;Crivitz, Stadt;2567;37;231;562;686;508;347;196
13060011;Dabel;689;3;61;110;142;158;123;92
13060012;Damm;214;-;-;32;52;48;59;23
13060013;Demen;506;6;25;110;134;104;61;66
13060014;Diestelow;254;-;15;35;90;47;31;36
13060015;Dobbertin;452;6;21;58;106;111;92;58
13060016;Domsühl;471;-;24;67;91;135;87;67
13060017;Friedrichsruhe;425;6;18;53;96;124;64;64
13060020;Ganzlin;269;-;25;36;91;64;30;23
13060021;Gischow;123;-;6;22;24;25;24;22
13060022;Gneven;176;-;16;29;37;48;19;27
13060024;Godern;167;-;13;19;63;28;23;21
13060025;Göhren;186;3;3;16;53;36;44;31
13060026;Goldberg, Stadt;1711;38;105;419;544;351;147;107
13060027;Goldenstädt;-;-;-;-;-;-;-;-
13060028;Granzin;246;3;3;32;85;61;32;30
13060029;Grebbin;255;-;18;67;58;66;24;22
13060030;Groß Godems;152;-;6;9;30;38;37;32
13060032;Groß Niendorf;107;-;4;10;29;25;16;23
13060033;Herzberg;191;3;6;28;51;55;25;23
13060035;Hohen Pritz;188;-;6;32;32;43;44;31
13060036;Karbow-Vietlübbe;192;3;11;52;32;36;19;39
13060037;Karow;-;-;-;-;-;-;-;-
13060038;Karrenzin;281;3;3;29;65;66;52;63
13060039;Klinken;-;-;-;-;-;-;-;-
13060040;Kobrow;194;7;24;26;27;43;35;32
13060041;Kreien;202;9;19;21;34;47;39;33
13060042;Kritzow;224;3;20;28;43;54;45;31
13060045;Langen Brütz;232;3;19;19;45;76;39;31
13060046;Langen Jarchow;135;4;3;12;46;42;18;10
13060047;Langenhagen;-;-;-;-;-;-;-;-
13060048;Leezen;947;39;50;185;175;245;158;95
13060049;Lübz, Stadt;3474;173;578;1049;710;460;284;220
13060050;Lutheran;136;-;3;10;27;58;28;10
13060051;Marnitz;375;4;6;61;104;84;74;42
13060052;Matzlow-Garwitz;-;-;-;-;-;-;-;-
13060053;Mestlin;417;15;18;69;163;80;35;37
13060054;Mustin;225;-;28;54;59;36;26;22
13060055;Neu Poserin;288;3;18;43;73;72;49;30
13060056;Parchim, Stadt;9821;207;916;2922;3193;1532;635;416
13060057;Passow;328;3;9;47;82;77;63;47
13060059;Pinnow;701;3;24;87;122;185;173;107
13060060;Plate;1478;21;87;161;257;417;306;229
13060061;Plau am See, Stadt;3530;63;635;936;754;576;301;265
13060063;Raben Steinfeld;548;9;67;84;133;96;89;70
13060064;Raduhn;-;-;-;-;-;-;-;-
13060067;Rom;366;16;10;31;94;80;81;54
13060070;Severin;113;-;-;9;32;33;13;26
13060071;Siggelkow;429;7;8;48;81;126;75;84
13060072;Spornitz;624;12;33;91;147;153;94;94
13060073;Sternberg, Stadt;2487;119;535;781;383;345;182;142
13060074;Stolpe;188;-;16;40;39;26;32;35
13060076;Suckow;279;3;13;25;69;82;53;34
13060077;Sukow;634;-;27;82;117;209;99;100
13060078;Techentin;-;-;-;-;-;-;-;-
13060079;Tessenow;302;3;15;59;72;63;54;36
13060080;Tramm;228;-;7;28;54;62;37;40
13060081;Wahlstorf;82;-;-;6;32;19;13;12
13060082;Weitendorf;191;-;15;41;38;32;26;39
13060083;Wendisch Priborn;201;-;13;26;67;51;24;20
13060084;Wendisch Waren;163;-;-;17;40;58;32;16
13060086;Werder;164;-;9;22;31;25;34;43
13060087;Wessin;-;-;-;-;-;-;-;-
13060088;Witzin;256;6;41;25;64;68;25;27
13060089;Zahrensdorf;155;-;17;35;28;45;24;6
13060090;Zapel;202;-;7;41;50;61;12;31
13060091;Ziegendorf;309;3;6;64;58;82;47;49
13060092;Zölkow;287;3;9;45;64;85;29;52
13060093;Gallin-Kuppentin;273;16;18;46;59;70;26;38
13060094;Barkhagen;327;16;22;73;58;61;73;24
13060095;Buchberg;260;-;6;25;66;68;52;43
13060096;Dobin am See;871;22;61;97;151;278;160;102
13060097;Kuhlen-Wendorf;438;7;64;83;85;115;51;33
13060098;Lewitzrand;656;3;40;84;123;168;128;110
13060099;Techentin;359;3;19;40;89;108;49;51
13061001;Altefähr;653;28;62;150;163;101;79;70
13061002;Altenkirchen;586;13;157;163;114;82;27;30
13061003;Baabe;644;13;171;107;189;90;40;34
13061004;Bergen auf Rügen, Stadt;7641;306;805;1789;2754;1293;456;238
13061005;Binz;3176;246;541;868;770;494;179;78
13061006;Breege;375;9;27;93;71;91;50;34
13061007;Buschvitz;119;6;12;16;28;30;15;12
13061008;Dranske;867;38;175;107;175;231;90;51
13061009;Dreschvitz;363;-;10;59;113;78;55;48
13061010;Gager;227;11;13;55;59;46;16;27
13061011;Garz/Rügen, Stadt;1209;10;83;276;343;258;156;83
13061012;Gingst;687;21;119;165;149;114;92;27
13061013;Glowe;537;12;33;128;168;109;57;30
13061014;Göhren;736;47;207;179;158;59;48;38
13061016;Gustow;291;3;30;56;113;32;36;21
13061017;Insel Hiddensee;660;24;76;157;156;112;68;67
13061019;Kluis;182;-;10;21;60;48;30;13
13061020;Lancken-Granitz;229;6;9;46;91;38;18;21
13061021;Lietzow;145;6;21;31;33;25;17;12
13061022;Lohme;290;3;35;59;66;45;47;35
13061023;Middelhagen;332;6;77;47;78;46;41;37
13061024;Neuenkirchen;202;6;9;46;67;47;17;10
13061025;Parchtitz;338;-;21;39;84;100;55;39
13061026;Patzig;212;6;13;36;36;58;33;30
13061027;Poseritz;524;6;44;125;132;99;66;52
13061028;Putbus, Stadt;2387;25;250;554;637;460;268;193
13061029;Putgarten;124;-;-;16;49;38;3;18
13061030;Ralswiek;112;-;9;20;26;24;10;23
13061031;Rambin;467;3;16;86;93;148;55;66
13061032;Rappin;150;-;6;32;39;50;14;9
13061033;Sagard;1460;123;83;292;472;308;125;57
13061034;Samtens;1045;18;138;228;259;241;110;51
13061035;Sassnitz, Stadt;5930;44;896;1680;2256;674;236;144
13061036;Schaprode;232;3;6;42;66;39;48;28
13061037;Sehlen;406;9;16;65;106;109;57;44
13061038;Sellin;1499;81;257;403;312;263;123;60
13061039;Thesenvitz;-;-;-;-;-;-;-;-
13061040;Thiessow;246;9;40;62;32;48;17;38
13061041;Trent;388;9;51;73;81;81;53;40
13061042;Ummanz;319;3;20;31;82;105;47;31
13061043;Wiek;668;19;106;164;140;117;50;72
13061044;Zirkow;311;8;25;59;95;67;21;36
13062001;Ahlbeck;368;-;27;51;103;83;54;50
13062002;Altwarp;361;-;35;66;125;68;55;12
13062003;Altwigshagen;289;18;47;74;50;36;45;19
13062005;Bergholz;180;-;12;35;39;29;23;42
13062007;Blankensee;267;7;15;38;52;34;66;55
13062008;Blumenhagen;199;3;21;37;46;50;26;16
13062009;Boock;235;3;9;17;70;52;46;38
13062010;Brietzig;98;3;-;16;27;33;13;6
13062011;Damerow;82;6;15;15;6;19;9;12
13062012;Eggesin, Stadt;2681;49;319;797;656;446;290;124
13062013;Fahrenwalde;185;-;22;41;48;25;26;23
13062014;Ferdinandshof;1602;62;271;478;339;195;150;107
13062016;Glasow;109;-;10;24;38;19;15;3
13062017;Grambin;205;-;11;30;62;45;39;18
13062018;Grambow;429;11;64;77;88;99;38;52
13062019;Groß Luckow;148;9;25;34;22;20;9;29
13062021;Hammer a. d. Uecker;256;13;15;37;56;58;40;37
13062022;Heinrichsruh;123;-;-;13;57;27;11;15
13062023;Heinrichswalde;225;3;22;31;38;65;24;42
13062024;Hintersee;172;7;9;16;21;60;31;28
13062025;Jatznick;943;17;118;176;191;200;135;106
13062026;Klein Luckow;114;-;0;25;51;12;17;9
13062027;Koblentz;112;-;3;36;28;25;6;14
13062028;Krackow;359;-;21;58;94;94;61;31
13062029;Krugsdorf;200;3;18;37;58;52;16;16
13062031;Leopoldshagen;348;3;54;78;62;74;52;25
13062032;Liepgarten;378;8;15;49;75;107;89;35
13062033;Löcknitz;1658;47;329;516;309;207;149;101
13062034;Luckow;309;6;15;53;50;99;61;25
13062036;Meiersberg;208;-;7;33;64;47;30;27
13062038;Mönkebude;362;4;6;59;78;86;72;57
13062039;Nadrensee;194;-;16;59;47;35;18;19
13062040;Nieden;82;-;3;12;22;13;15;17
13062042;Papendorf;137;3;19;22;20;42;16;15
13062043;Pasewalk, Stadt;6195;137;778;1938;1860;898;350;234
13062044;Penkun, Stadt;963;-;37;173;266;208;151;128
13062045;Plöwen;139;4;12;18;36;17;26;26
13062046;Polzow;105;-;15;24;22;25;13;6
13062047;Ramin;325;7;37;68;53;96;27;37
13062049;Rollwitz;275;10;25;47;36;66;60;31
13062050;Rossow;220;3;31;31;47;60;24;24
13062051;Rothemühl;160;-;3;21;32;46;28;30
13062052;Rothenklempenow;338;6;29;45;84;82;46;46
13062053;Schönwalde;241;3;20;42;46;60;43;27
13062056;Strasburg (Uckermark), Stadt;3118;37;282;880;1065;520;203;131
13062057;Torgelow-Holländerei;178;4;6;11;41;47;34;35
13062058;Torgelow, Stadt;4947;196;1035;1618;936;541;379;242
13062059;Ueckermünde, Stadt;5051;117;680;1467;1403;792;361;231
13062060;Viereck;651;6;24;214;151;116;90;50
13062061;Vogelsang-Warsin;183;-;17;33;55;38;23;17
13062062;Wilhelmsburg;410;3;33;68;108;91;61;46
13062064;Zerrenthin;211;3;12;33;49;47;32;35
13062065;Züsedom;129;-;3;23;68;13;10;12
13062066;Lübs;201;3;16;43;53;41;21;24
13071001;Alt Schwerin;-;-;-;-;-;-;-;-
13071002;Altenhagen;-;-;-;-;-;-;-;-
13071003;Altenhof;-;-;-;-;-;-;-;-
13071004;Altentreptow, Stadt;-;-;-;-;-;-;-;-
13071005;Ankershagen;-;-;-;-;-;-;-;-
13071006;Bartow;-;-;-;-;-;-;-;-
13071007;Basedow;-;-;-;-;-;-;-;-
13071008;Beggerow;-;-;-;-;-;-;-;-
13071009;Beseritz;-;-;-;-;-;-;-;-
13071010;Blankenhof;-;-;-;-;-;-;-;-
13071011;Blankensee;-;-;-;-;-;-;-;-
13071012;Blumenholz;-;-;-;-;-;-;-;-
13071013;Bollewick;-;-;-;-;-;-;-;-
13071014;Borrentin;-;-;-;-;-;-;-;-
13071015;Bredenfelde;-;-;-;-;-;-;-;-
13071016;Breesen;-;-;-;-;-;-;-;-
13071017;Breest;-;-;-;-;-;-;-;-
13071018;Briggow;-;-;-;-;-;-;-;-
13071019;Brunn;-;-;-;-;-;-;-;-
13071020;Buchholz;-;-;-;-;-;-;-;-
13071021;Burg Stargard, Stadt;-;-;-;-;-;-;-;-
13071022;Burow;-;-;-;-;-;-;-;-
13071023;Bütow;-;-;-;-;-;-;-;-
13071024;Cammin;-;-;-;-;-;-;-;-
13071025;Carpin;-;-;-;-;-;-;-;-
13071026;Cölpin;-;-;-;-;-;-;-;-
13071027;Dargun, Stadt;-;-;-;-;-;-;-;-
13071028;Datzetal;-;-;-;-;-;-;-;-
13071029;Demmin, Hansestadt;-;-;-;-;-;-;-;-
13071030;Duckow;-;-;-;-;-;-;-;-
13071031;Eichhorst;-;-;-;-;-;-;-;-
13071032;Faulenrost;-;-;-;-;-;-;-;-
13071033;Feldberger Seenlandschaft;-;-;-;-;-;-;-;-
13071034;Fincken;-;-;-;-;-;-;-;-
13071035;Friedland, Stadt;-;-;-;-;-;-;-;-
13071036;Fünfseen;-;-;-;-;-;-;-;-
13071037;Galenbeck;-;-;-;-;-;-;-;-
13071038;Genzkow;-;-;-;-;-;-;-;-
13071039;Gielow;-;-;-;-;-;-;-;-
13071040;Glienke;-;-;-;-;-;-;-;-
13071041;Gnevkow;-;-;-;-;-;-;-;-
13071042;Godendorf;-;-;-;-;-;-;-;-
13071043;Göhren-Lebbin;-;-;-;-;-;-;-;-
13071044;Golchen;-;-;-;-;-;-;-;-
13071045;Gotthun;-;-;-;-;-;-;-;-
13071046;Grabow-Below;-;-;-;-;-;-;-;-
13071047;Grabowhöfe;-;-;-;-;-;-;-;-
13071048;Grammentin;-;-;-;-;-;-;-;-
13071049;Grapzow;-;-;-;-;-;-;-;-
13071050;Grischow;-;-;-;-;-;-;-;-
13071051;Groß Dratow;-;-;-;-;-;-;-;-
13071052;Groß Gievitz;-;-;-;-;-;-;-;-
13071053;Groß Kelle;-;-;-;-;-;-;-;-
13071054;Groß Miltzow;-;-;-;-;-;-;-;-
13071055;Groß Nemerow;-;-;-;-;-;-;-;-
13071056;Groß Plasten;-;-;-;-;-;-;-;-
13071057;Groß Teetzleben;-;-;-;-;-;-;-;-
13071058;Grünow;-;-;-;-;-;-;-;-
13071059;Gültz;-;-;-;-;-;-;-;-
13071060;Gülzow;-;-;-;-;-;-;-;-
13071061;Helpt;-;-;-;-;-;-;-;-
13071062;Hinrichshagen;-;-;-;-;-;-;-;-
13071063;Hohen Wangelin;-;-;-;-;-;-;-;-
13071064;Hohenbollentin;-;-;-;-;-;-;-;-
13071065;Hohenmocker;-;-;-;-;-;-;-;-
13071066;Hohenzieritz;-;-;-;-;-;-;-;-
13071067;Holldorf;-;-;-;-;-;-;-;-
13071068;Ivenack;-;-;-;-;-;-;-;-
13071069;Jabel;-;-;-;-;-;-;-;-
13071070;Jürgenstorf;-;-;-;-;-;-;-;-
13071071;Kargow;-;-;-;-;-;-;-;-
13071072;Kentzlin;-;-;-;-;-;-;-;-
13071073;Kieve;-;-;-;-;-;-;-;-
13071074;Kittendorf;-;-;-;-;-;-;-;-
13071075;Klein Vielen;-;-;-;-;-;-;-;-
13071076;Kletzin;-;-;-;-;-;-;-;-
13071077;Klink;-;-;-;-;-;-;-;-
13071078;Klocksin;-;-;-;-;-;-;-;-
13071079;Knorrendorf;-;-;-;-;-;-;-;-
13071080;Kratzeburg;-;-;-;-;-;-;-;-
13071081;Kriesow;-;-;-;-;-;-;-;-
13071082;Krukow;-;-;-;-;-;-;-;-
13071083;Kublank;-;-;-;-;-;-;-;-
13071084;Kummerow;-;-;-;-;-;-;-;-
13071085;Lansen-Schönau;-;-;-;-;-;-;-;-
13071086;Lapitz;-;-;-;-;-;-;-;-
13071087;Lärz;-;-;-;-;-;-;-;-
13071088;Leizen;-;-;-;-;-;-;-;-
13071089;Lindenberg;-;-;-;-;-;-;-;-
13071090;Lindetal;-;-;-;-;-;-;-;-
13071091;Ludorf;-;-;-;-;-;-;-;-
13071092;Malchin, Stadt;-;-;-;-;-;-;-;-
13071093;Malchow, Stadt;-;-;-;-;-;-;-;-
13071094;Mallin;-;-;-;-;-;-;-;-
13071095;Massow;-;-;-;-;-;-;-;-
13071096;Meesiger;-;-;-;-;-;-;-;-
13071097;Melz;-;-;-;-;-;-;-;-
13071098;Mildenitz;-;-;-;-;-;-;-;-
13071099;Mirow, Stadt;-;-;-;-;-;-;-;-
13071100;Möllenbeck;-;-;-;-;-;-;-;-
13071101;Möllenhagen;-;-;-;-;-;-;-;-
13071102;Mölln;-;-;-;-;-;-;-;-
13071103;Moltzow;-;-;-;-;-;-;-;-
13071104;Neddemin;-;-;-;-;-;-;-;-
13071105;Neetzka;-;-;-;-;-;-;-;-
13071106;Neu Gaarz;-;-;-;-;-;-;-;-
13071107;Neubrandenburg, Stadt;-;-;-;-;-;-;-;-
13071108;Neuenkirchen;-;-;-;-;-;-;-;-
13071109;Neukalen, Stadt;-;-;-;-;-;-;-;-
13071110;Neustrelitz, Stadt;-;-;-;-;-;-;-;-
13071111;Neverin;-;-;-;-;-;-;-;-
13071112;Nossendorf;-;-;-;-;-;-;-;-
13071113;Nossentiner Hütte;-;-;-;-;-;-;-;-
13071114;Penkow;-;-;-;-;-;-;-;-
13071115;Penzlin, Stadt;-;-;-;-;-;-;-;-
13071116;Petersdorf;-;-;-;-;-;-;-;-
13071117;Pragsdorf;-;-;-;-;-;-;-;-
13071118;Priborn;-;-;-;-;-;-;-;-
13071119;Priepert;-;-;-;-;-;-;-;-
13071120;Pripsleben;-;-;-;-;-;-;-;-
13071121;Puchow;-;-;-;-;-;-;-;-
13071122;Rechlin;-;-;-;-;-;-;-;-
13071123;Ritzerow;-;-;-;-;-;-;-;-
13071124;Röbel/Müritz, Stadt;-;-;-;-;-;-;-;-
13071125;Röckwitz;-;-;-;-;-;-;-;-
13071126;Roggentin;-;-;-;-;-;-;-;-
13071127;Rosenow;-;-;-;-;-;-;-;-
13071128;Sarow;-;-;-;-;-;-;-;-
13071129;Schloen;-;-;-;-;-;-;-;-
13071130;Schönbeck;-;-;-;-;-;-;-;-
13071131;Schönfeld;-;-;-;-;-;-;-;-
13071132;Schönhausen;-;-;-;-;-;-;-;-
13071133;Schwarz;-;-;-;-;-;-;-;-
13071134;Schwinkendorf;-;-;-;-;-;-;-;-
13071135;Siedenbollentin;-;-;-;-;-;-;-;-
13071136;Siedenbrünzow;-;-;-;-;-;-;-;-
13071137;Sietow;-;-;-;-;-;-;-;-
13071138;Silz;-;-;-;-;-;-;-;-
13071139;Sommersdorf;-;-;-;-;-;-;-;-
13071140;Sponholz;-;-;-;-;-;-;-;-
13071141;Staven;-;-;-;-;-;-;-;-
13071142;Stavenhagen, Reuterstadt, Stadt;-;-;-;-;-;-;-;-
13071143;Stuer;-;-;-;-;-;-;-;-
