GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15086190;Rosian;-;-;-;-;-
15086195;Roßdorf b. Jeßnitz, Anh;-;-;-;-;-
15086200;Schermen;-;-;-;-;-
15086205;Schlagenthin;-;-;-;-;-
15086210;Schopsdorf;-;-;-;-;-
15086215;Schweinitz;-;-;-;-;-
15086220;Stresow;-;-;-;-;-
15086230;Tryppehna;-;-;-;-;-
15086235;Tucheim;-;-;-;-;-
15086240;Wallwitz;-;-;-;-;-
15086245;Woltersdorf b. Magdeburg;-;-;-;-;-
15086250;Wulkow;-;-;-;-;-
15086255;Wüstenjerichow;-;-;-;-;-
15086260;Zabakuck;-;-;-;-;-
15086265;Zeddenick;-;-;-;-;-
15087005;Abberode;-;-;-;-;-
15087010;Ahlsdorf;811;643;113;-;55
15087015;Allstedt, Stadt;4013;2606;1127;16;264
15087020;Alterode;-;-;-;-;-
15087025;Amsdorf;-;-;-;-;-
15087030;Arnstedt;-;-;-;-;-
15087031;Arnstein, Stadt;3516;2503;770;20;223
15087035;Aseleben;-;-;-;-;-
15087040;Augsdorf;-;-;-;-;-
15087045;Benndorf;1259;349;819;-;91
15087050;Bennungen;-;-;-;-;-
15087055;Berga;859;591;218;3;47
15087060;Beyernaumburg;-;-;-;-;-
15087065;Bischofrode;-;-;-;-;-
15087070;Blankenheim;604;442;130;-;32
15087075;Bornstedt;403;320;57;-;26
15087080;Bräunrode;-;-;-;-;-
15087085;Braunschwende;-;-;-;-;-
15087090;Breitenstein;-;-;-;-;-
15087095;Breitungen;-;-;-;-;-
15087100;Brücken (Helme);-;-;-;-;-
15087101;Brücken-Hackpfüffel;511;386;106;3;16
15087105;Burgsdorf;-;-;-;-;-
15087110;Dederstedt;-;-;-;-;-
15087115;Dietersdorf b. Roßla;-;-;-;-;-
15087120;Drebsdorf;-;-;-;-;-
15087125;Edersleben;473;361;76;-;36
15087130;Eisleben, Lutherstadt;13449;4794;7531;3;1121
15087135;Emseloh;-;-;-;-;-
15087140;Erdeborn;-;-;-;-;-
15087145;Freist;-;-;-;-;-
15087150;Friedeburg (Saale);-;-;-;-;-
15087155;Friedeburgerhütte;-;-;-;-;-
15087160;Friesdorf;-;-;-;-;-
15087165;Gerbstedt, Stadt;3993;2711;943;13;326
15087170;Greifenhagen;-;-;-;-;-
15087175;Hackpfüffel;-;-;-;-;-
15087180;Hainrode;-;-;-;-;-
15087185;Harkerode;-;-;-;-;-
15087190;Hayn (Harz);-;-;-;-;-
15087195;Hedersleben b. Lutherstadt Eisleben;-;-;-;-;-
15087200;Heiligenthal;-;-;-;-;-
15087205;Helbra;2212;1177;889;-;146
15087210;Hergisdorf;822;647;128;-;47
15087215;Hermerode;-;-;-;-;-
15087220;Hettstedt, Stadt;8817;3109;4642;3;1063
15087225;Holdenstedt;-;-;-;-;-
15087230;Hornburg b. Lutherstadt Eisleben;-;-;-;-;-
15087235;Hübitz;-;-;-;-;-
15087240;Ihlewitz;-;-;-;-;-
15087245;Katharinenrieth;-;-;-;-;-
15087250;Kelbra (Kyffhäuser), Stadt;1826;1238;478;16;94
15087255;Kleinleinungen;-;-;-;-;-
15087260;Klostermansfeld;1274;848;338;7;81
15087265;Liedersdorf;-;-;-;-;-
15087270;Lüttchendorf;-;-;-;-;-
15087275;Mansfeld, Stadt;4817;3400;1046;35;336
15087280;Martinsrieth;-;-;-;-;-
15087285;Mittelhausen;-;-;-;-;-
15087290;Molmerswende;-;-;-;-;-
15087295;Neehausen;-;-;-;-;-
15087300;Niederröblingen (Helme);-;-;-;-;-
15087305;Nienstedt;-;-;-;-;-
15087310;Osterhausen;-;-;-;-;-
15087315;Pölsfeld;-;-;-;-;-
15087320;Quenstedt;-;-;-;-;-
15087325;Questenberg;-;-;-;-;-
15087330;Riethnordhausen b. Sangerhausen;-;-;-;-;-
15087335;Ritterode;-;-;-;-;-
15087340;Ritzgerode;-;-;-;-;-
15087345;Röblingen am See;-;-;-;-;-
15087350;Roßla;-;-;-;-;-
15087355;Rottelsdorf;-;-;-;-;-
15087360;Rottleberode;-;-;-;-;-
15087365;Sandersleben (Anhalt);-;-;-;-;-
15087370;Sangerhausen, Stadt;15599;5117;9214;27;1241
15087375;Schmalzerode;-;-;-;-;-
15087380;Schwenda;-;-;-;-;-
15087385;Seeburg b. Lutherstadt Eisleben;-;-;-;-;-
15087386;Seegebiet Mansfelder Land;4883;2915;1650;34;284
15087390;Siersleben;-;-;-;-;-
15087395;Sotterhausen;-;-;-;-;-
15087400;Stangerode;-;-;-;-;-
15087405;Stedten;-;-;-;-;-
15087410;Stolberg (Harz);-;-;-;-;-
15087412;Südharz;4988;3282;1309;37;360
15087415;Sylda;-;-;-;-;-
15087420;Tilleda (Kyffhäuser);-;-;-;-;-
15087425;Uftrungen;-;-;-;-;-
15087430;Ulzigerode;-;-;-;-;-
15087435;Walbeck b. Hettstedt, Sachs-Anh;-;-;-;-;-
15087440;Wallhausen;1238;815;333;-;90
15087445;Wansleben am See;-;-;-;-;-
15087450;Welbsleben;-;-;-;-;-
15087455;Welfesholz;-;-;-;-;-
15087460;Wickerode;-;-;-;-;-
15087465;Wiederstedt;-;-;-;-;-
15087470;Wimmelburg;608;487;89;-;32
15087475;Winkel;-;-;-;-;-
15087485;Wolferstedt;-;-;-;-;-
15087490;Zabenstedt;-;-;-;-;-
15088005;Albersroda;-;-;-;-;-
15088010;Alberstedt;-;-;-;-;-
15088015;Angersdorf;-;-;-;-;-
15088020;Bad Dürrenberg, Stadt;6723;2437;3697;3;586
15088025;Bad Lauchstädt, Goethestadt;4542;2579;1735;-;228
15088030;Barnstädt;490;375;96;-;19
15088035;Beesenstedt;-;-;-;-;-
15088040;Bennstedt;-;-;-;-;-
15088045;Beuna (Geiseltal);-;-;-;-;-
15088050;Brachstedt;-;-;-;-;-
15088055;Brachwitz b. Halle, Saale;-;-;-;-;-
15088060;Braschwitz;-;-;-;-;-
15088065;Braunsbedra, Stadt;5981;2249;3247;-;485
15088075;Döblitz;-;-;-;-;-
15088080;Domnitz;-;-;-;-;-
15088085;Dornstedt;-;-;-;-;-
15088095;Esperstedt b. Querfurt;-;-;-;-;-
15088100;Farnstädt;761;600;114;-;47
15088105;Fienstedt;-;-;-;-;-
15088110;Friedensdorf;-;-;-;-;-
15088115;Geusa;-;-;-;-;-
15088120;Gimritz;-;-;-;-;-
15088125;Götschetal;-;-;-;-;-
15088130;Günthersdorf b. Merseburg;-;-;-;-;-
15088135;Hohenthurm;-;-;-;-;-
15088140;Höhnstedt;-;-;-;-;-
15088145;Horburg-Maßlau;-;-;-;-;-
15088150;Kabelsketal;4234;2013;1970;-;251
15088160;Kloschwitz;-;-;-;-;-
15088165;Kötschlitz;-;-;-;-;-
15088170;Kötzschau;-;-;-;-;-
15088175;Kreypau;-;-;-;-;-
15088180;Krosigk;-;-;-;-;-
15088190;Kütten;-;-;-;-;-
15088195;Landsberg, Stadt;7171;4176;2536;15;444
15088200;Langenbogen;-;-;-;-;-
15088205;Leuna, Stadt;7338;3525;3150;10;653
15088210;Lieskau b. Halle, Saale;-;-;-;-;-
15088215;Löbejün;-;-;-;-;-
15088216;Wettin-Löbejün, Stadt;5203;3104;1708;20;371
15088220;Merseburg, Stadt;20219;4550;13662;6;2001
15088225;Milzau;-;-;-;-;-
15088230;Morl;-;-;-;-;-
15088235;Mücheln (Geiseltal), Stadt;4585;2320;1927;10;328
15088240;Nauendorf b. Halle, Saale;-;-;-;-;-
15088245;Nempitz;-;-;-;-;-
15088250;Nemsdorf-Göhrendorf;444;322;98;-;24
15088255;Neutz-Lettewitz;-;-;-;-;-
15088260;Niemberg;-;-;-;-;-
15088265;Obhausen;1057;813;199;3;42
15088275;Oechlitz;-;-;-;-;-
15088280;Oppin;-;-;-;-;-
15088285;Ostrau b. Halle, Saale;-;-;-;-;-
15088290;Peißen b. Halle, Saale;-;-;-;-;-
15088295;Petersberg;4579;3233;1101;-;245
15088300;Plötz b. Halle, Saale;-;-;-;-;-
15088305;Querfurt, Stadt;6127;2816;2766;6;539
15088310;Rodden;-;-;-;-;-
15088315;Rothenburg;-;-;-;-;-
15088319;Salzatal;5807;3567;1917;9;314
15088320;Salzmünde;-;-;-;-;-
15088330;Schkopau;5257;3169;1859;6;223
15088335;Schochwitz;-;-;-;-;-
15088340;Schraplau, Stadt;649;409;173;3;64
15088345;Schwerz;-;-;-;-;-
15088350;Spergau;-;-;-;-;-
15088355;Steigra;574;419;106;3;46
15088360;Steuden;-;-;-;-;-
15088365;Teutschenthal;6447;4143;2016;9;279
15088370;Tollwitz;-;-;-;-;-
15088375;Wallendorf (Luppe);-;-;-;-;-
15088380;Wettin;-;-;-;-;-
15088385;Zappendorf;-;-;-;-;-
15088390;Zöschen;-;-;-;-;-
15088395;Zweimen;-;-;-;-;-
15089005;Alsleben (Saale), Stadt;1352;777;449;3;123
15089010;Amesdorf;-;-;-;-;-
15089015;Aschersleben, Stadt;16558;4574;10292;6;1686
15089020;Baalberge;-;-;-;-;-
15089025;Barby (Elbe);-;-;-;-;-
15089026;Barby, Stadt;4658;2859;1424;3;372
15089030;Bernburg (Saale), Stadt;20050;6570;11551;12;1917
15089035;Biendorf b. Bernburg;-;-;-;-;-
15089041;Bördeaue;1001;622;304;-;75
15089042;Bördeland;3798;2445;1107;-;246
15089043;Börde-Hakel;1684;926;605;-;153
15089045;Borne;615;423;150;-;42
15089050;Breitenhagen;-;-;-;-;-
15089055;Calbe (Saale), Stadt;5663;1789;3125;9;740
15089060;Cörmigk;-;-;-;-;-
15089070;Edlau;-;-;-;-;-
15089075;Egeln, Stadt;1912;863;873;-;176
15089090;Etgersleben;-;-;-;-;-
15089095;Förderstedt;-;-;-;-;-
15089105;Friedrichsaue;-;-;-;-;-
15089110;Frose;-;-;-;-;-
15089115;Gatersleben;-;-;-;-;-
15089120;Gerbitz;-;-;-;-;-
15089125;Gerlebogk;-;-;-;-;-
15089130;Giersleben;541;378;106;-;57
15089135;Glinde b. Schönebeck, Elbe;-;-;-;-;-
15089140;Gnadau;-;-;-;-;-
15089145;Gröna;-;-;-;-;-
15089150;Groß Rosenburg;-;-;-;-;-
15089155;Groß Schierstedt;-;-;-;-;-
15089165;Güsten, Stadt;2494;1247;969;3;275
15089170;Hakeborn;-;-;-;-;-
15089175;Hecklingen, Stadt;3617;2113;1232;-;272
15089180;Hoym;-;-;-;-;-
15089185;Ilberstedt;565;385;128;-;52
15089195;Könnern, Stadt;4473;2857;1196;20;400
15089200;Latdorf;-;-;-;-;-
15089205;Lödderitz;-;-;-;-;-
15089215;Nachterstedt;-;-;-;-;-
15089220;Neu Königsaue;-;-;-;-;-
15089225;Neugattersleben;-;-;-;-;-
15089230;Neundorf (Anhalt);-;-;-;-;-
15089235;Nienburg (Saale), Stadt;3523;2155;1141;-;227
15089240;Peißen b. Bernburg;-;-;-;-;-
15089245;Plötzkau;623;468;100;-;55
15089250;Plötzky;-;-;-;-;-
15089255;Pobzig;-;-;-;-;-
15089260;Poley;-;-;-;-;-
15089265;Pömmelte;-;-;-;-;-
15089270;Pretzien;-;-;-;-;-
15089275;Preußlitz;-;-;-;-;-
15089280;Ranies;-;-;-;-;-
15089285;Sachsendorf b. Schönebeck, Elbe;-;-;-;-;-
15089290;Schackenthal;-;-;-;-;-
15089295;Schackstedt;-;-;-;-;-
15089300;Schadeleben;-;-;-;-;-
15089305;Schönebeck (Elbe), Stadt;19167;5291;11725;30;2121
15089307;Seeland, Stadt;4563;2480;1589;7;487
15089310;Staßfurt, Stadt;16104;5870;8239;17;1978
15089315;Tarthun;-;-;-;-;-
15089320;Tornitz;-;-;-;-;-
15089325;Unseburg;-;-;-;-;-
15089330;Wedlitz;-;-;-;-;-
15089340;Wespen;-;-;-;-;-
15089345;Westdorf;-;-;-;-;-
15089350;Westeregeln;-;-;-;-;-
15089355;Wiendorf b. Könnern;-;-;-;-;-
15089360;Wohlsdorf;-;-;-;-;-
15089365;Wolmirsleben;736;450;202;-;84
15089375;Zuchau;-;-;-;-;-
15090003;Aland;812;537;178;3;94
15090005;Altenzaun;-;-;-;-;-
15090007;Altmärkische Höhe;1033;703;188;12;130
15090008;Altmärkische Wische;527;320;134;3;70
15090010;Arneburg, Stadt;842;529;250;12;51
15090015;Aulosen;-;-;-;-;-
15090020;Baben;-;-;-;-;-
15090025;Badingen b. Stendal;-;-;-;-;-
15090030;Ballerstedt;-;-;-;-;-
15090035;Beelitz b. Stendal;-;-;-;-;-
15090040;Behrendorf, Altmark;-;-;-;-;-
15090045;Bellingen b. Stendal;-;-;-;-;-
15090050;Berkau;-;-;-;-;-
15090055;Bertkow;-;-;-;-;-
15090060;Beuster;-;-;-;-;-
15090065;Birkholz b. Tangerhütte;-;-;-;-;-
15090070;Bismark (Altmark), Stadt;4461;2797;1211;18;435
15090075;Bittkau;-;-;-;-;-
15090080;Bölsdorf;-;-;-;-;-
15090085;Boock, Altmark;-;-;-;-;-
15090090;Bretsch;-;-;-;-;-
15090095;Buch b. Tangerhütte;-;-;-;-;-
15090100;Buchholz b. Gräfenhainichen;-;-;-;-;-
15090105;Büste;-;-;-;-;-
15090110;Cobbel;-;-;-;-;-
15090115;Dahlen b. Schönhausen, Elbe;-;-;-;-;-
15090120;Demker;-;-;-;-;-
15090125;Dobberkau;-;-;-;-;-
15090130;Düsedau;-;-;-;-;-
15090135;Eichstedt (Altmark);448;293;116;3;36
15090140;Erxleben b. Osterburg;-;-;-;-;-
15090145;Falkenberg, Altmark;-;-;-;-;-
15090150;Fischbeck (Elbe);-;-;-;-;-
15090155;Flessau;-;-;-;-;-
15090160;Gagel;-;-;-;-;-
15090165;Garlipp;-;-;-;-;-
15090170;Geestgottberg;-;-;-;-;-
15090175;Gladigau;-;-;-;-;-
15090180;Goldbeck;688;442;203;-;43
15090185;Gollensdorf;-;-;-;-;-
15090190;Grassau b. Stendal;-;-;-;-;-
15090195;Grieben b. Tangerhütte;-;-;-;-;-
15090200;Grobleben;-;-;-;-;-
15090205;Groß Garz;-;-;-;-;-
15090210;Groß Schwechten;-;-;-;-;-
15090215;Hämerten;-;-;-;-;-
15090220;Hassel;444;298;128;3;15
15090225;Havelberg, Hansestadt;4004;1473;2145;37;349
15090230;Heeren;-;-;-;-;-
15090235;Heiligenfelde;-;-;-;-;-
15090245;Hohenberg-Krusemark;667;436;153;3;75
15090250;Hohengöhren;-;-;-;-;-
15090255;Hohenwulsch;-;-;-;-;-
15090260;Holzhausen b. Kolbe, Milde;-;-;-;-;-
15090265;Hüselitz;-;-;-;-;-
15090270;Iden;514;267;190;6;51
15090275;Insel;-;-;-;-;-
15090280;Jerchel b. Tangerhütte;-;-;-;-;-
15090285;Kamern;653;458;121;22;52
15090290;Käthen;-;-;-;-;-
15090295;Kehnert;-;-;-;-;-
15090300;Kläden b. Stendal;-;-;-;-;-
15090305;Klein Schwechten;-;-;-;-;-
15090310;Klietz;941;565;297;10;69
15090315;Königsmark;-;-;-;-;-
15090320;Könnigde;-;-;-;-;-
15090325;Kossebau;-;-;-;-;-
15090330;Kremkau;-;-;-;-;-
15090335;Krevese;-;-;-;-;-
15090340;Krüden;-;-;-;-;-
15090345;Langensalzwedel;-;-;-;-;-
15090350;Lichterfelde;-;-;-;-;-
15090355;Lindtorf;-;-;-;-;-
15090360;Losenrade;-;-;-;-;-
15090365;Losse;-;-;-;-;-
15090370;Lückstedt;-;-;-;-;-
15090375;Lüderitz;-;-;-;-;-
15090380;Meseberg, Altmark;-;-;-;-;-
15090385;Meßdorf;-;-;-;-;-
15090390;Miltern;-;-;-;-;-
15090395;Möringen;-;-;-;-;-
15090400;Nahrstedt;-;-;-;-;-
15090405;Neuermark-Lübars;-;-;-;-;-
15090410;Neukirchen (Altmark);-;-;-;-;-
15090415;Osterburg (Altmark), Hansestadt;5571;2736;2307;6;522
15090420;Pollitz;-;-;-;-;-
15090425;Querstedt;-;-;-;-;-
15090430;Ringfurth;-;-;-;-;-
15090435;Rochau;517;367;127;-;23
15090440;Rossau, Altmark;-;-;-;-;-
15090445;Sandau (Elbe), Stadt;444;316;104;3;21
15090450;Sandauerholz;-;-;-;-;-
15090455;Sanne;-;-;-;-;-
15090460;Schäplitz;-;-;-;-;-
15090465;Schelldorf;-;-;-;-;-
15090470;Schernebeck;-;-;-;-;-
15090475;Schernikau;-;-;-;-;-
15090480;Schinne;-;-;-;-;-
15090485;Schollene;622;395;182;18;27
15090490;Schönberg, Altmark;-;-;-;-;-
15090495;Schönfeld b. Schönhausen, Elbe;-;-;-;-;-
15090500;Schönhausen (Elbe);1186;700;393;6;87
15090505;Schönwalde (Altmark);-;-;-;-;-
15090510;Schorstedt;-;-;-;-;-
15090515;Schwarzholz;-;-;-;-;-
15090520;Seehausen (Altmark), Hansestadt;2833;1287;1305;16;225
15090525;Staats;-;-;-;-;-
15090530;Steinfeld (Altmark);-;-;-;-;-
15090535;Stendal, Hansestadt;23137;6073;14664;34;2366
15090540;Storkau (Elbe);-;-;-;-;-
15090545;Tangerhütte;-;-;-;-;-
15090546;Tangerhütte, Stadt;6070;3379;2108;24;559
15090550;Tangermünde, Stadt;5494;2588;2592;3;311
15090555;Uchtdorf;-;-;-;-;-
15090560;Uchtspringe;-;-;-;-;-
15090565;Uenglingen;-;-;-;-;-
15090570;Uetz;-;-;-;-;-
15090575;Vinzelberg;-;-;-;-;-
15090580;Volgfelde;-;-;-;-;-
15090585;Wahrenberg;-;-;-;-;-
15090590;Walsleben, Altmark;-;-;-;-;-
15090595;Wanzer;-;-;-;-;-
15090600;Weißewarte;-;-;-;-;-
15090605;Wendemark;-;-;-;-;-
15090610;Werben (Elbe), Hansestadt;699;397;195;30;77
15090615;Windberge;-;-;-;-;-
15090620;Wittenmoor;-;-;-;-;-
15090625;Wulkau;-;-;-;-;-
15090630;Wust b. Schönhausen, Elbe;-;-;-;-;-
15090631;Wust-Fischbeck;688;423;196;6;63
15090635;Zehrental;506;320;123;15;48
15091005;Abtsdorf;-;-;-;-;-
15091010;Annaburg, Stadt;3807;2194;1190;21;402
15091015;Axien;-;-;-;-;-
15091020;Bad Schmiedeberg, Stadt;4568;2709;1405;31;423
15091025;Bethau;-;-;-;-;-
15091030;Boßdorf;-;-;-;-;-
15091035;Brandhorst;-;-;-;-;-
15091040;Bräsen;-;-;-;-;-
15091045;Buko;-;-;-;-;-
15091055;Cobbelsdorf;-;-;-;-;-
15091060;Coswig (Anhalt), Stadt;6642;3618;2455;15;554
15091065;Dabrun;-;-;-;-;-
15091070;Dietrichsdorf;-;-;-;-;-
15091080;Düben;-;-;-;-;-
15091085;Elster (Elbe);-;-;-;-;-
15091090;Eutzsch;-;-;-;-;-
15091095;Gadegast;-;-;-;-;-
15091100;Globig-Bleddin;-;-;-;-;-
15091105;Gohrau;-;-;-;-;-
15091110;Gräfenhainichen, Stadt;6830;3097;3176;13;544
15091120;Griesen;-;-;-;-;-
15091125;Groß Naundorf;-;-;-;-;-
15091130;Horstdorf;-;-;-;-;-
15091135;Hundeluft;-;-;-;-;-
15091140;Jeber-Bergfrieden;-;-;-;-;-
15091145;Jessen (Elster), Stadt;7614;4079;2774;45;716
15091155;Kakau;-;-;-;-;-
15091160;Kemberg, Stadt;5150;3612;1160;61;317
15091165;Klieken;-;-;-;-;-
15091170;Klöden;-;-;-;-;-
15091175;Korgau;-;-;-;-;-
15091180;Köselitz;-;-;-;-;-
15091185;Kropstädt;-;-;-;-;-
15091190;Labrun;-;-;-;-;-
15091195;Lebien;-;-;-;-;-
15091200;Leetza;-;-;-;-;-
15091205;Listerfehrda;-;-;-;-;-
15091210;Meuro b. Lutherstadt Eisleben;-;-;-;-;-
15091215;Mochau b. Lutherstadt Eisleben;-;-;-;-;-
15091220;Möhlau;-;-;-;-;-
15091225;Möllensdorf;-;-;-;-;-
15091230;Mühlanger;-;-;-;-;-
15091235;Naundorf bei Seyda;-;-;-;-;-
15091240;Oranienbaum;-;-;-;-;-
15091241;Oranienbaum-Wörlitz, Stadt;4412;2848;1204;17;343
15091245;Plossig;-;-;-;-;-
15091250;Prettin;-;-;-;-;-
15091255;Pretzsch (Elbe);-;-;-;-;-
15091260;Priesitz;-;-;-;-;-
15091265;Rackith;-;-;-;-;-
15091270;Radis;-;-;-;-;-
15091275;Ragösen b. Dessua, Anh;-;-;-;-;-
15091280;Rehsen;-;-;-;-;-
15091285;Riesigk;-;-;-;-;-
15091290;Rotta;-;-;-;-;-
15091295;Schköna;-;-;-;-;-
15091300;Schleesen;-;-;-;-;-
15091305;Schnellin;-;-;-;-;-
15091310;Schützberg;-;-;-;-;-
15091315;Selbitz b. Bitterfeld;-;-;-;-;-
15091320;Senst;-;-;-;-;-
15091325;Serno;-;-;-;-;-
15091330;Söllichau;-;-;-;-;-
15091335;Stackelitz;-;-;-;-;-
15091340;Straach;-;-;-;-;-
15091345;Thießen;-;-;-;-;-
15091350;Tornau;-;-;-;-;-
15091355;Trebitz;-;-;-;-;-
15091360;Uthausen;-;-;-;-;-
15091365;Vockerode;-;-;-;-;-
15091370;Wartenburg;-;-;-;-;-
15091375;Wittenberg, Lutherstadt;25942;9621;14398;22;1901
15091380;Wörlitz;-;-;-;-;-
15091390;Zahna;-;-;-;-;-
15091391;Zahna-Elster, Stadt;4599;3222;1097;16;264
15091395;Zemnick;-;-;-;-;-
15091400;Zörnigall;-;-;-;-;-
15091405;Zschornewitz;-;-;-;-;-
15101000;Dessau, Kreisfreie Stadt;-;-;-;-;-
15151000;Anhalt-Zerbst, Kreis;-;-;-;-;-
15153000;Bernburg, Kreis;-;-;-;-;-
15154000;Bitterfeld, Kreis;-;-;-;-;-
15159000;Köthen, Kreis;-;-;-;-;-
15171000;Wittenberg, Kreis;-;-;-;-;-
15202000;Halle (Saale), Kreisfreie Stadt;-;-;-;-;-
15256000;Burgenlandkreis;-;-;-;-;-
15260000;Mansfelder Land, Kreis;-;-;-;-;-
15261000;Merseburg-Querfurt, Kreis;-;-;-;-;-
15265000;Saalkreis;-;-;-;-;-
15266000;Sangerhausen, Kreis;-;-;-;-;-
15268000;Weißenfels, Kreis;-;-;-;-;-
15303000;Magdeburg, Kreisfreie Stadt;-;-;-;-;-
15352000;Aschersleben-Staßfurt, Kreis;-;-;-;-;-
15355000;Bördekreis;-;-;-;-;-
15357000;Halberstadt, Kreis;-;-;-;-;-
15358000;Jerichower Land, Kreis;-;-;-;-;-
15362000;Ohrekreis;-;-;-;-;-
15363000;Stendal, Kreis;-;-;-;-;-
15364000;Quedlinburg, Kreis;-;-;-;-;-
15367000;Schönebeck, Kreis;-;-;-;-;-
15369000;Wernigerode, Kreis;-;-;-;-;-
15370000;Altmarkkreis Salzwedel, Kreis;-;-;-;-;-
16051000;Erfurt, krsfr. Stadt;110430;22214;82715;98;5403
16052000;Gera, krsfr. Stadt;59615;11258;41119;16;7219
16053000;Jena, krsfr. Stadt;57592;11888;44496;41;1167
16054000;Suhl, krsfr. Stadt;21277;6114;13383;22;1758
16055000;Weimar, krsfr. Stadt;33103;7643;23953;51;1456
16056000;Eisenach, krsfr. Stadt;23209;5597;15592;28;1992
16061001;Arenshausen;448;234;182;-;32
16061002;Asbach-Sickenberg;61;37;12;9;3
16061003;Berlingerode;459;384;69;-;6
16061004;Bernterode (bei Heilbad Heiligenstadt);108;90;15;-;3
16061005;Bernterode (bei Worbis);-;-;-;-;-
16061007;Birkenfelde;212;172;28;-;12
16061009;Bischofferode;-;-;-;-;-
16061011;Bockelnhagen;210;119;58;-;33
16061012;Bodenrode-Westhausen;441;352;67;-;22
16061014;Bornhagen;110;71;26;3;10
16061015;Brehme;419;319;82;-;18
16061017;Breitenworbis;1404;980;332;3;89
16061018;Büttstedt;326;278;39;-;9
16061019;Buhla;256;189;44;3;20
16061021;Burgwalde;87;72;12;-;3
16061022;Deuna;366;286;71;3;6
16061023;Dieterode;44;35;6;-;3
16061024;Dietzenrode/Vatterode;59;50;6;-;3
16061025;Dingelstädt, Stadt;2128;1017;961;-;150
16061026;Ecklingerode;288;237;43;-;8
16061027;Effelder;428;353;59;-;16
16061028;Eichstruth;26;26;-;-;-
16061031;Ferna;235;168;56;-;11
16061032;Freienhagen;116;96;13;-;7
16061033;Fretterode;66;48;15;-;3
16061034;Geisleden;417;333;78;3;3
16061035;Geismar;498;322;133;-;43
16061036;Gerbershausen;246;168;58;-;20
16061037;Gernrode;588;476;94;-;18
16061038;Gerterode;164;127;31;3;3
16061039;Glasehausen;61;47;8;-;6
16061041;Großbartloff;378;310;52;-;16
16061042;Großbodungen;-;-;-;-;-
16061043;Hausen;158;124;34;-;-
16061044;Haynrode;288;237;35;-;16
16061045;Heilbad Heiligenstadt, Stadt;7888;2811;4574;6;497
16061046;Helmsdorf;211;183;18;3;7
16061047;Heuthen;319;220;60;3;36
16061048;Hohengandern;226;168;49;-;9
16061049;Hohes Kreuz;511;400;98;-;13
16061051;Holungen;316;271;42;-;3
16061052;Hundeshagen;456;367;79;-;10
16061053;Jützenbach;198;160;31;-;7
16061054;Kallmerode;226;178;41;7;-
16061055;Kefferhausen;296;251;36;-;9
16061056;Kella;227;173;47;-;7
16061057;Kirchgandern;258;193;53;3;9
16061058;Kirchworbis;545;421;97;6;21
16061059;Kleinbartloff;170;142;19;3;6
16061061;Kreuzebra;282;241;32;-;9
16061062;Krombach;69;55;14;-;-
16061063;Küllstedt;534;377;131;-;26
16061065;Lenterode;126;98;25;-;3
16061066;Lindewerra;103;83;20;-;-
16061067;Lutter;294;223;56;6;9
16061068;Mackenrode;144;97;15;-;32
16061069;Marth;129;89;40;-;-
16061073;Neustadt;-;-;-;-;-
16061074;Niederorschel;1310;761;476;3;70
16061075;Pfaffschwende;125;87;29;3;6
16061076;Reinholterode;281;234;34;3;10
16061077;Röhrig;77;61;13;-;3
16061078;Rohrberg;86;63;19;-;4
16061082;Rustenfelde;186;147;36;-;3
16061083;Schachtebich;88;78;10;-;-
16061084;Schönhagen;43;39;4;-;-
16061085;Schwobfeld;29;17;12;-;-
16061086;Sickerode;72;52;17;-;3
16061087;Silberhausen;261;221;37;-;3
16061088;Silkerode;172;123;45;-;4
16061089;Steinbach;207;164;34;-;9
16061091;Steinheuterode;89;79;7;-;3
16061092;Steinrode;209;174;28;-;7
16061093;Stöckey;161;122;30;3;6
16061094;Tastungen;102;72;20;-;10
16061096;Thalwenden;144;100;34;-;10
16061097;Uder;1065;687;344;-;34
16061098;Volkerode;103;88;12;3;0
16061099;Vollenborn;98;86;9;-;3
16061101;Wachstedt;200;162;25;-;13
16061102;Wahlhausen;111;70;38;-;3
16061103;Wehnde;143;110;33;-;-
16061104;Weißenborn-Lüderode;539;410;108;-;21
16061105;Wiesenfeld;97;80;11;-;6
16061107;Wingerode;469;343;110;-;16
16061111;Wüstheuterode;218;176;33;-;9
16061112;Zwinge;182;146;14;3;19
16061113;Schimberg;875;604;206;3;62
16061114;Teistungen;959;667;262;-;30
16061115;Leinefelde-Worbis, Stadt;8903;3299;5195;14;395
16061116;Am Ohmberg;1843;1116;574;3;150
